sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
Cairo University,396,383,1,65.0,Academic,96.7,0.3
Riphah International University,334,328,0,41.0,Academic,98.2,0.0
Mayo Clinic,329,227,37,423.0,Hospital and Health System,69.0,11.2
M.D. Anderson Cancer Center,253,75,49,92.0,Hospital and Health System,29.6,19.4
Massachusetts General Hospital,246,171,24,139.0,Hospital and Health System,69.5,9.8
Pfizer,240,181,35,265.0,Large Pharma,75.4,14.6
Novartis Pharmaceuticals,238,145,60,375.0,Large Pharma,60.9,25.2
Duke University,233,172,35,626.0,Academic,73.8,15.0
Washington University School of Medicine,229,136,46,142.0,Academic,59.4,20.1
Eli Lilly and Company,221,174,22,351.0,Large Pharma,78.7,10.0
AstraZeneca,220,160,19,272.0,Large Pharma,72.7,8.6
Ain Shams University,220,217,0,87.0,Academic,98.6,0.0
"University of California, San Francisco",213,164,16,8688.0,Academic,77.0,7.5
Stanford University,212,142,20,326.0,Academic,67.0,9.4
Yale University,212,154,20,3712.0,Academic,72.6,9.4
GlaxoSmithKline,207,144,29,292.0,Large Pharma,69.6,14.0
VA Office of Research and Development,201,153,13,467.0,Government and Public Health,76.1,6.5
Johns Hopkins University,200,149,18,693.0,Academic,74.5,9.0
National Cancer Institute (NCI),199,50,28,177.0,Academic,25.1,14.1
University of Michigan,189,147,24,227.0,Academic,77.8,12.7
Assistance Publique - Hôpitaux de Paris,188,145,17,224.0,Government and Public Health,77.1,9.0
Merck Sharp & Dohme LLC,175,130,19,575.0,Large Pharma,74.3,10.9
NYU Langone Health,172,110,18,543.0,Hospital and Health System,64.0,10.5
University of Pennsylvania,172,126,15,32407.0,Academic,73.3,8.7
Wake Forest University Health Sciences,170,104,25,937.0,Biotech,61.2,14.7
"Janssen Research & Development, LLC",170,114,27,351.0,Large Pharma,67.1,15.9
Hoffmann-La Roche,167,112,24,220.0,Large Pharma,67.1,14.4
University of Alabama at Birmingham,165,110,15,200.0,Academic,66.7,9.1
University of Florida,155,110,20,112.0,Academic,71.0,12.9
Assiut University,154,147,0,95.0,Academic,95.5,0.0
University of Washington,153,107,19,698.0,Academic,69.9,12.4
Emory University,148,105,22,726.0,Academic,70.9,14.9
"University of North Carolina, Chapel Hill",147,126,9,352.0,Academic,85.7,6.1
AbbVie,146,103,21,206.0,Large Pharma,70.5,14.4
Memorial Sloan Kettering Cancer Center,145,58,12,61.0,Hospital and Health System,40.0,8.3
Seoul National University Hospital,143,124,10,203.0,Academic,86.7,7.0
Northwestern University,141,97,10,133.0,Academic,68.8,7.1
"University of Colorado, Denver",141,107,7,1193.0,Academic,75.9,5.0
Boehringer Ingelheim,140,119,12,143.0,Large Pharma,85.0,8.6
Vanderbilt University Medical Center,134,87,15,299.0,Academic,64.9,11.2
"University of California, Los Angeles",133,99,9,4095.0,Academic,74.4,6.8
Bristol-Myers Squibb,132,97,16,192.0,Large Pharma,73.5,12.1
University of Minnesota,128,98,13,415.0,Academic,76.6,10.2
Indiana University,127,97,15,1035.0,Academic,76.4,11.8
Mansoura University,127,119,1,79.0,Academic,93.7,0.8
National Institute of Allergy and Infectious Diseases (NIAID),125,103,13,289.0,Academic,82.4,10.4
Columbia University,124,83,22,771.0,Academic,66.9,17.7
Bayer,123,106,9,222.0,Large Pharma,86.2,7.3
University of Pittsburgh,122,92,11,427.0,Academic,75.4,9.0
Brigham and Women's Hospital,120,80,9,1502.0,Hospital and Health System,66.7,7.5
The University of Hong Kong,118,105,2,325.0,Academic,89.0,1.7
University of Utah,117,78,20,1101.0,Academic,66.7,17.1
"University of Wisconsin, Madison",115,87,16,1803.0,Academic,75.7,13.9
Hospices Civils de Lyon,111,100,7,123.0,Hospital and Health System,90.1,6.3
Tanta University,109,103,0,64.0,Academic,94.5,0.0
Novo Nordisk A/S,108,102,1,302.0,Large Pharma,94.4,0.9
"University of California, Davis",104,79,9,677.0,Academic,76.0,8.7
University of Miami,104,70,12,70.0,Academic,67.3,11.5
Sanofi,103,78,18,166.0,Large Pharma,75.7,17.5
University of Texas Southwestern Medical Center,101,62,14,511.0,Academic,61.4,13.9
Hacettepe University,100,93,0,50.0,Academic,93.0,0.0
Medical University of South Carolina,100,83,8,89.0,Academic,83.0,8.0
Takeda,99,73,10,331.0,Large Pharma,73.7,10.1
"The University of Texas Health Science Center, Houston",99,70,15,142.0,Academic,70.7,15.2
Icahn School of Medicine at Mount Sinai,97,71,17,481.0,Academic,73.2,17.5
University of British Columbia,96,75,8,118.0,Academic,78.1,8.3
University of Alberta,95,72,8,200.0,Academic,75.8,8.4
Karolinska Institutet,91,71,4,887.0,Academic,78.0,4.4
