sponsor,therapeutic_area,trial_count,sponsor_total,concentration_pct
Ain Shams University,Pain and Anaesthesia,32,220,14.5
Ain Shams University,Gastroenterology and Renal,11,220,5.0
Ain Shams University,Musculoskeletal,11,220,5.0
Ain Shams University,Oral Health,10,220,4.5
Ain Shams University,Cardiovascular,8,220,3.6
Ain Shams University,Infectious Disease,6,220,2.7
Ain Shams University,Metabolic and Endocrine,4,220,1.8
Ain Shams University,Psychiatry and Mental Health,3,220,1.4
Ain Shams University,Respiratory,3,220,1.4
Ain Shams University,Vaccines,3,220,1.4
Ain Shams University,Obstetrics and Gynaecology,2,220,0.9
Ain Shams University,Oncology,2,220,0.9
Ain Shams University,Ophthalmology,2,220,0.9
Ain Shams University,Healthy Volunteer Studies,1,220,0.5
Ain Shams University,Neurology,1,220,0.5
Ain Shams University,Urology,1,220,0.5
AstraZeneca,Oncology,64,220,29.1
AstraZeneca,Respiratory,40,220,18.2
AstraZeneca,Cardiovascular,24,220,10.9
AstraZeneca,Healthy Volunteer Studies,22,220,10.0
AstraZeneca,Metabolic and Endocrine,17,220,7.7
AstraZeneca,Gastroenterology and Renal,13,220,5.9
AstraZeneca,Vaccines,6,220,2.7
AstraZeneca,Neurology,1,220,0.5
AstraZeneca,Psychiatry and Mental Health,1,220,0.5
Cairo University,Pain and Anaesthesia,49,396,12.4
Cairo University,Oral Health,35,396,8.8
Cairo University,Musculoskeletal,26,396,6.6
Cairo University,Cardiovascular,15,396,3.8
Cairo University,Neurology,15,396,3.8
Cairo University,Metabolic and Endocrine,14,396,3.5
Cairo University,Respiratory,13,396,3.3
Cairo University,Gastroenterology and Renal,9,396,2.3
Cairo University,Dermatology,8,396,2.0
Cairo University,Psychiatry and Mental Health,6,396,1.5
Cairo University,Oncology,4,396,1.0
Cairo University,Infectious Disease,3,396,0.8
Cairo University,Obstetrics and Gynaecology,3,396,0.8
Cairo University,Urology,3,396,0.8
Cairo University,Ophthalmology,2,396,0.5
Cairo University,Vaccines,2,396,0.5
Duke University,Oncology,28,233,12.0
Duke University,Cardiovascular,26,233,11.2
Duke University,Psychiatry and Mental Health,21,233,9.0
Duke University,Infectious Disease,12,233,5.2
Duke University,Pain and Anaesthesia,12,233,5.2
Duke University,Metabolic and Endocrine,10,233,4.3
Duke University,Respiratory,7,233,3.0
Duke University,Vaccines,7,233,3.0
Duke University,Gastroenterology and Renal,6,233,2.6
Duke University,Musculoskeletal,4,233,1.7
Duke University,Neurology,4,233,1.7
Duke University,Healthy Volunteer Studies,3,233,1.3
Duke University,Ophthalmology,3,233,1.3
Duke University,Obstetrics and Gynaecology,1,233,0.4
Duke University,Urology,1,233,0.4
Eli Lilly and Company,Healthy Volunteer Studies,67,221,30.3
Eli Lilly and Company,Metabolic and Endocrine,42,221,19.0
Eli Lilly and Company,Oncology,39,221,17.6
Eli Lilly and Company,Dermatology,18,221,8.1
Eli Lilly and Company,Neurology,15,221,6.8
Eli Lilly and Company,Musculoskeletal,8,221,3.6
Eli Lilly and Company,Gastroenterology and Renal,7,221,3.2
Eli Lilly and Company,Pain and Anaesthesia,6,221,2.7
Eli Lilly and Company,Vaccines,4,221,1.8
Eli Lilly and Company,Cardiovascular,2,221,0.9
GlaxoSmithKline,Respiratory,45,207,21.7
GlaxoSmithKline,Oncology,18,207,8.7
GlaxoSmithKline,Dermatology,15,207,7.2
GlaxoSmithKline,Infectious Disease,15,207,7.2
GlaxoSmithKline,Metabolic and Endocrine,10,207,4.8
GlaxoSmithKline,Vaccines,10,207,4.8
GlaxoSmithKline,Musculoskeletal,9,207,4.3
GlaxoSmithKline,Pain and Anaesthesia,6,207,2.9
GlaxoSmithKline,Cardiovascular,5,207,2.4
GlaxoSmithKline,Psychiatry and Mental Health,5,207,2.4
GlaxoSmithKline,Gastroenterology and Renal,3,207,1.4
GlaxoSmithKline,Healthy Volunteer Studies,2,207,1.0
GlaxoSmithKline,Oral Health,2,207,1.0
GlaxoSmithKline,Obstetrics and Gynaecology,1,207,0.5
GlaxoSmithKline,Urology,1,207,0.5
Johns Hopkins University,Psychiatry and Mental Health,20,200,10.0
Johns Hopkins University,Neurology,19,200,9.5
Johns Hopkins University,Cardiovascular,17,200,8.5
Johns Hopkins University,Infectious Disease,14,200,7.0
Johns Hopkins University,Metabolic and Endocrine,10,200,5.0
Johns Hopkins University,Pain and Anaesthesia,10,200,5.0
Johns Hopkins University,Respiratory,8,200,4.0
Johns Hopkins University,Oncology,5,200,2.5
Johns Hopkins University,Vaccines,5,200,2.5
Johns Hopkins University,Ophthalmology,4,200,2.0
Johns Hopkins University,Dermatology,3,200,1.5
Johns Hopkins University,Musculoskeletal,3,200,1.5
Johns Hopkins University,Gastroenterology and Renal,2,200,1.0
